,name,date_post,tracks,likes,reposts,user,link
306,DJ,24 February 2015,3,None,None,Taz Nấm Lùn,https://soundcloud.com/taz-n-m-l-n/sets/dj
307,yy,25 August 2021,3,None,None,Khôi,https://soundcloud.com/nh-kh-i-718848397/sets/yy
308,Chill song,23 September 2019,15,1,1,Sang Nguyen,https://soundcloud.com/sang-nguy-n-452537330/sets/chill-song
309,hay,20 January 2021,15,None,None,khiết phan,https://soundcloud.com/khi-t-phan-349824295/sets/hay
310,gg,29 June 2021,15,None,None,Đinh Vịt,https://soundcloud.com/vi-t-inh-373240996/sets/gg-1
311,Lofi time,2 May 2021,15,2,None,Sang Nguyen,https://soundcloud.com/sang-nguy-n-452537330/sets/lofi-time
312,1,29 August 2021,15,None,None,Phương Linh,https://soundcloud.com/ph-ng-linh-484205087/sets/1-1
313,rap free,20 October 2021,14,None,None,Hoàng Sáng,https://soundcloud.com/sang-vo-460413768/sets/rap-free-2
314,New private playlist,13 September 2019,15,None,None,Ruby Queen,https://soundcloud.com/ruby-queen-330504248/sets/new-private-playlist
315,hjph0pnevadiezzz,16 November 2020,15,None,None,Tăng Thanh Tùng,https://soundcloud.com/t-ng-thanh-t-ng-691336611/sets/hjph0pnevadiezzz
316,Quannnn,27 September 2017,15,None,None,Quân Thái,https://soundcloud.com/qu-n-th-i-838406682/sets/quannnn
317,❤️❤️💙💙,9 December 2020,15,None,None,Quân Thái,https://soundcloud.com/qu-n-th-i-838406682/sets/re6s5ueybjhs
318,skr,31 January 2021,5,None,None,Hải Ly,https://soundcloud.com/h-i-ly-38148753/sets/skr
319,rap,29 June 2018,15,None,None,crayon nguyen,https://soundcloud.com/crayon-nguyen/sets/rap
320,ppp,6 October 2019,15,None,None,Thu Thảo,https://soundcloud.com/thu-th-o-209159292/sets/ppp
321,r,22 March 2021,15,None,None,Tam Luu,https://soundcloud.com/tam-luu-46552172/sets/r
322,Rap,10 October 2021,15,None,None,ECH XANH,https://soundcloud.com/echxanh/sets/rap
